year,state,district,proportion_black,black_candidate,black_turnout
2008,CO,6,2.5224955,0,78.6138614
2008,CO,7,6.5473247,0,67.7745716
2008,CT,1,11.4529462,0,71.4208205
2008,CT,2,3.5138816,0,37.7904195
2008,CT,3,12.3063688,0,58.9886731
2008,CT,4,10.824807,0,61.563298
2008,CT,5,5.057897,0,53.8613702
2008,DE,0,19.3922904,0,75.4572835
2008,DE,1,19.3922904,0,75.4572835
2008,FL,1,13.7161133,0,59.615921
2008,FL,2,21.881329,0,60.8296518
2008,FL,4,13.8872153,0,65.9276642
2008,FL,5,5.6382781,0,58.7146052
2008,FL,6,12.9993998,0,63.6340572
2008,FL,7,8.8668152,0,67.1250992
2008,FL,8,8.8533778,0,69.7655381
2008,FL,9,5.007266,0,66.9027642
2008,FL,10,4.949532,0,54.4081135
2008,FL,11,26.5452848,1,63.7207882
2008,FL,12,13.7199619,0,69.707925
2008,FL,13,4.8731676,0,51.7637137
2008,FL,14,4.571577,0,58.8492353
2008,FL,15,7.6814285,0,69.3404074
2008,FL,16,6.7272865,0,73.5380078
2008,FL,18,6.4814509,0,71.5213516
2008,FL,19,7.9047716,0,77.1299201
2008,FL,20,9.0260158,0,85.5720264
2008,FL,21,8.4064696,0,81.966687
2008,FL,22,4.6782523,1,72.8702892
2008,FL,23,52.6797758,1,67.986142
2008,FL,24,7.50073,0,68.3419194
2008,FL,25,12.1148679,0,49.4155994
2008,GA,0,30.2423314,0,61.7467687
2008,GA,1,24.2469326,0,52.590857
2008,GA,2,46.683077,1,52.6292602
2008,GA,3,23.0996008,0,64.4701087
2008,GA,4,60.7543193,1,68.4286059
2008,GA,5,51.9938798,1,59.4242921
2008,GA,6,9.7256027,0,69.6026155
2008,GA,7,20.8940374,0,69.6121078
2008,GA,8,32.4817791,0,58.7297843
2008,GA,9,3.8288008,0,43.9796413
2008,GA,10,18.2577376,0,58.9065146
2008,GA,11,15.5768379,0,58.8434968
2008,GA,12,43.481645,0,54.6631807
2008,GA,13,55.554032,1,70.9061577
